id,tanggal,tipe_mesin,kode_error,gejala (pisahkan dengan ';'),jenis_kerusakan (label),komponen_utama,tindakan_perbaikan,konfirmasi_teknisi (Y/N),catatan
1,2026-02-02,Canon iRA 4051,E000-0001,The temperature detected by the main thermistor does not rise to the specified value during startup control.,Fixing,Fixing Unit / Fuser,"1. Go through the following to clear the error: COPIER> FUNCTION> CLEAR> ERR; and then turn OFF and then ON the power.; 2. Check connection of the Connectors (Thermistor Connector: J2063/J2510/J214, AC Connector: J105).; 3. Replace the Fixing Main Thermistor (Film Unit).; 4. Replace the Fixing Main Unit.; 5. Replace the DC Controller PCB (UN2).",Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Fixing temperature abnormal rise
2,2026-02-02,Canon iRA 4051,E001-0000,The reading of the main thermistor is 250 deg C or more continuously for 200 msec.,Fixing,Fixing Unit / Fuser,"1. Go through the following to clear the error: COPIER> FUNCTION> CLEAR> ERR; and then turn OFF and then ON the power.; 2. Check connection of the Connectors (Thermistor Connector: J2063/J2510/J214, AC Connector: J105).; 3. Replace the Fixing Main Thermistor (Film Unit).; 4. Replace the Fixing Main Unit.; 5. Replace the DC Controller PCB (UN2).",Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Fixing unit temperature rise detection
3,2026-02-02,Canon iRA 4051,E001-0001,The hardware circuit detects overheating of the main or sub thermistor for 30 msec.,Fixing,Fixing Unit / Fuser,1. Go through the following to clear the error: COPIER> FUNCTION> CLEAR> ERR; and then turn OFF and then ON the power.; 2. Replace the DC Controller PCB (UN2).E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Fixing unit temperature rise detection
4,2026-02-02,Canon iRA 4051,E001-0002,The reading of the sub thermistor is 295 deg C or more continuously for 200 msec.,Fixing,Fixing Unit / Fuser,"1. Go through the following to clear the error: COPIER> FUNCTION> CLEAR> ERR; and then turn OFF and then ON the power.; 2. Check connection of the Connectors (Thermistor Connector: J2063/J2510/J214, AC Connector: J105).; 3. Replace the Fixing Main Thermistor (Film Unit).; 4. Replace the Fixing Main Unit.; 5. Replace the DC Controller PCB (UN2).",Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Fixing unit temperature rise detection
5,2026-02-02,Canon iRA 4051,E002-0000,1. The reading of the main thermistor is less than 115 deg C cont inuously for 400 msec 2.5 sec after it has indicated 100 deg C. 2. The reading of the main thermistor is less than 150 deg C continuous ly for 400 msec 1.3 sec after it has indicated 140 deg C.,Fixing,Fixing Unit / Fuser,"1. Go through the following to clear the error: COPIER> FUNCTION> CLEAR> ERR; and then turn OFF and then ON the power.; 2. Check connection of the Connectors (Thermistor Connector: J2063/J2510/J214, AC Connector: J105).; 3. Replace the Fixing Main Thermistor (Film Unit).; 4. Replace the Fixing Main Unit.; 5. Replace the DC Controller PCB (UN2).",Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Fixing unit temperature insufficient rise
6,2026-02-02,Canon iRA 4051,E003-0000,The reading of the main thermistor is less than 100 deg C continuously for 200 msec or more.,Fixing,Fixing Unit / Fuser,"1. Go through the following to clear the error: COPIER> FUNCTION> CLEAR> ERR; and then turn OFF and then ON the power.; 2. Check connection of the Connectors (Thermistor Connector: J2063/J2510/J214, AC Connector: J105).; 3. Replace the Fixing Main Thermistor (Film Unit).; 4. Replace the Fixing Main Unit.; 5. Replace the DC Controller PCB (UN2).",Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Low fixing temperature detection after standby
7,2026-02-02,Canon iRA 4051,E004-0000,When disconnection is detected with connector for 30 sec continuously.,System Error,System,1. Check connection of the Connector (J2063/J2510/J214).; 2. Replace the Film Unit.; 3. Replace the Fixing Main Unit.; 4. Replace the DC Controller PCB (UN2). 7 7 7-4 7-4Error Code > Error Code > Error Code Details > E000 to E5F6 Error Code > Error Code > Error Code Details > E000 to E5F6E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Thermistor disconnection detection error
8,2026-02-02,Canon iRA 4051,E010-0001,"Detection is executed every 100 msec after the start of motor rotation; however, the drive detection signal is absent for 2 sec.",Motor,Motor,1. Check connection of the Connector (J2002/J2255/J203).; 2. Replace the Main Motor (M1).; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Unstable rotation of the Main Motor (M1)
9,2026-02-02,Canon iRA 4051,E010-0002,"During motor rotation, detection is executed every 100 msec; however, the drive signal is absent 5 times in sequence.",Motor,Motor,1. Check connection of the Connector (J2002/J2255/J203).; 2. Replace the Main Motor (M1).; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Unstable rotation of the Main Motor (M1)
10,2026-02-02,Canon iRA 4051,E014-0001,"Detection is executed every 100 msec after the start of motor rotation; however, the drive detection signal is absent for 2 sec.",Fixing,Fixing Unit / Fuser,1. Check connection of the Connector (J2001/J203).; 2. Replace the Fixing Motor (M2).; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Unstable rotation of the Fixing Motor (M2)
